Accrued Expense,Adopted,Agency,Budget Code,Budget Name,Cash Expense,Committed,Department,Encumbered,Expense Category,Modified,Post Adjustments,Pre-Encumbered,Year
0.00,3655500448.00,Department of Education,4301,GE INST & SCHOOL SUPERVISION ELE/MIDDLE,3343116455.34,3343116455.34,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,3592227806.00,0.00,0.00,2023
0.00,2822067851.00,Pension Contributions,0400,BOARD OF EDUCATION PENSIONS,2830723294.00,2830723294.00,CITY ACTUARIAL PENSIONS,0.00,TEACH RET SYS CONTINGNT RES SY,2830783459.00,0.00,0.00,2023
0.00,2544904864.00,Department of Education,2301,GENERAL EDUCATION CHARTER SCHOOLS,2390756801.49,2390756801.49,CHARTER SCHOOLS,0.00,CHARTER SCHOOLS,2470461749.00,0.00,0.00,2023
0.00,2071341538.00,Department of Education,4601,GE INSTRUCTION & SCHOOL SUPERVISION - HS,2044948385.40,2044948385.40,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,2071341538.00,0.00,0.00,2023
0.00,1937313482.00,Department of Education,0990,ACTIVE EMPLOYEES,1830850390.87,1830850390.87,FRINGE BENEFITS - PS,0.00,HEALTH INSURANCE PLAN CITY EMP,1705246109.00,0.00,0.00,2023
0.00,1672336879.00,Department of Education,4801,SE CLASSROOM INSTRUCTION - E/M,1078806525.47,1078806525.47,SE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,1433655435.00,0.00,0.00,2023
0.00,859930206.00,Department of Education,1106,SPECIAL EDUCATION BUSES,909477154.87,909477154.87,PUPIL TRANSPORTATION - OTPS,0.00,TRANSPORTATION OF PUPILS,944751983.00,0.00,0.00,2023
0.00,818805873.00,Department of Education,0990,ACTIVE EMPLOYEES,858336848.56,858897299.59,FRINGE BENEFITS - PS,0.00,SOCIAL SECURITY CONTRIBUTIONS,858897300.00,560451.03,0.00,2023
0.00,892816079.00,Department of Education,5101,CLASSRM INST & SCH SUPERVISION - CWSPED,654616373.06,654616373.06,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,808689692.00,0.00,0.00,2023
0.00,387546952.00,Department of Education,2127,Carter Cases,563022098.00,564402828.00,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,0.00,PMTS CONTRACT/CORPORAT SCHOOL,607546952.00,1380730.00,0.00,2023
0.00,0.00,Department of Education,A436,ARPA NYCSSS,574418794.00,574418794.00,SCHOOL FACILITIES - OTPS,0.00,MAINT & OPER OF INFRASTRUCTURE,530111120.00,0.00,0.00,2023
0.00,521346000.00,Department of Education,0991,RETIREES,521346000.00,521346000.00,FRINGE BENEFITS - PS,0.00,HEALTH INSURANCE PLAN CITY EMP,521346000.00,0.00,0.00,2023
11600234.27,498903867.00,Department of Education,1108,GENERAL EDUCATION BUSES,415560195.51,437160429.78,PUPIL TRANSPORTATION - OTPS,0.00,TRANSPORTATION OF PUPILS,487154581.00,10000000.00,0.00,2023
0.00,463968428.00,Department of Education,4811,RELATED SERVICES - ELEMENTARY/MIDDLE,565386541.49,565386541.49,SE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,463968428.00,0.00,0.00,2023
0.00,394298109.00,Department of Education,8707,UPK DOE SCHOOLS/NYCEEC,425508561.55,425508561.55,UNIVERSAL PRE-K - OTPS,0.00,PMTS CONTRACT/CORPORAT SCHOOL,415298109.00,0.00,0.00,2023
3501057.24,452832901.00,Department of Education,2142,PRE-K TUITION,413661012.94,417162070.18,SE PRE-K CONTRACT PMTS - OTPS,0.00,PMTS CONTRACT/CORPORAT SCHOOL,407336553.00,0.00,0.00,2023
7793548.53,339679347.00,Department of Education,6203,EarlyLearn Contracts,378270631.71,386064180.24,EARLY CHILDHOOD PROGRAMS - OTPS,0.00,DAY CARE OF CHILDREN,375252666.00,0.00,0.00,2023
0.00,335025599.00,Department of Education,2125,CONTRACT SCHOOLS (IN STATE),256856552.31,256856552.31,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,0.00,PMTS CONTRACT/CORPORAT SCHOOL,349381934.00,0.00,0.00,2023
0.00,309417584.00,Department of Education,8707,UPK DOE SCHOOLS/NYCEEC,342635606.96,342635606.96,UNIVERSAL PRE-K - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,309417584.00,0.00,0.00,2023
0.00,292593041.00,Department of Education,1485,"HEAT, LIGHT & POWER",297761339.00,297761339.00,ENERGY AND LEASES - OTPS,0.00,HEAT LIGHT & POWER,297761339.00,0.00,0.00,2023
-196705.13,299030216.00,Department of Education,0990,ACTIVE EMPLOYEES,235133383.53,239692254.87,FRINGE BENEFITS - PS,0.00,SUPPLEMENTAL EMPLOYEE WELF BEN,296281500.00,4755576.47,0.00,2023
0.00,278704463.00,Department of Education,2302,SPECIAL EDUCATION CHARTER SCHOOLS,302323569.21,302323569.21,CHARTER SCHOOLS,0.00,CHARTER SCHOOLS,278704463.00,0.00,0.00,2023
0.00,277179341.00,Department of Education,8489,GE Reimbursable Support,285907998.71,285907998.71,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,277179341.00,0.00,0.00,2023
0.00,248035035.00,Department of Education,1229,DIRECT FIELD OPERATIONS,192844350.77,193547079.65,SCHOOL FOOD SERVICES - OTPS,0.00,FOOD & FORAGE SUPPLIES,260914966.00,702728.88,0.00,2023
0.00,291030987.00,Department of Education,A408,ARPA for Prek,24335153.29,24335153.29,UNIVERSAL PRE-K - OTPS,0.00,PMTS CONTRACT/CORPORAT SCHOOL,258308503.00,0.00,0.00,2023
0.00,282489961.00,Department of Education,1047,OFFICE OF SCHOOL SAFETY,253985698.18,253985698.18,SCHOOL SAFETY - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,254189228.00,0.00,0.00,2023
0.00,236589490.00,Department of Education,5111,RELATED SERVICES - CITYWIDE SPECIAL EDUC,324035350.69,324035350.69,CW SE INSTR & SCHL LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,236589490.00,0.00,0.00,2023
0.00,160697052.00,Department of Education,1229,DIRECT FIELD OPERATIONS,145664678.41,145664678.41,SCHOOL FOOD SERVICES - PS,0.00,UNSALARIED,236123750.00,0.00,0.00,2023
0.00,221865450.00,Department of Education,8848,REIMBUR SUPPORT-SE INSTRUCTION EL/MID/HS,206207898.29,206207898.29,CATEGORICAL PROGRAMS - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,235927742.00,0.00,0.00,2023
0.00,197363011.00,Department of Education,4301,GE INST & SCHOOL SUPERVISION ELE/MIDDLE,229500813.46,229500813.46,GE INSTR & SCH LEADERSHIP - PS,0.00,UNSALARIED,229960233.00,0.00,0.00,2023
722042.57,112459068.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,189092182.83,189832413.83,CATEGORICAL PROGRAMS - OTPS,0.00,SUPPLIES + MATERIALS - GENERAL,225658886.00,18188.43,0.00,2023
0.00,213151842.00,Pension Contributions,0400,BOARD OF EDUCATION PENSIONS,219629199.00,219629199.00,CITY ACTUARIAL PENSIONS,0.00,BOARD OF EDUCATION RETIRE. SYS,219629199.00,0.00,0.00,2023
0.00,126292133.00,Department of Education,1443,ELEMENTARY / MIDDLE,160980661.53,160980661.53,ENERGY AND LEASES - OTPS,0.00,RENTALS - LAND BLDGS & STRUCTS,217065949.00,0.00,0.00,2023
0.00,202578586.00,Department of Education,4911,RELATED SERVICES - HIGH SCHOOLS,150100861.11,150100861.11,SE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,202578586.00,0.00,0.00,2023
0.00,286025925.00,Department of Education,2142,PRE-K TUITION,168226586.93,168226586.93,SE PRE-K CONTRACT PMTS - OTPS,0.00,PROF SERV DIRECT EDUC SERV,201646560.00,0.00,0.00,2023
0.00,223661571.00,Department of Education,8843,REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS,206570094.85,206570094.85,CATEGORICAL PROGRAMS - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,193635390.00,0.00,0.00,2023
0.00,211129890.00,Department of Education,5411,RELATED SERVICES -CENTRALLY ADMINISTERED,175280795.06,175280795.06,SE INSTRUCTIONAL SUPPORT -  OTPS,0.00,PROF SERV DIRECT EDUC SERV,190447860.00,0.00,0.00,2023
0.00,169090283.00,Department of Education,4901,SE CLASSROOM INSTRUCTION - HIGH SCHOOL,224664707.38,224664707.38,SE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,169090283.00,0.00,0.00,2023
0.00,171925388.00,Department of Education,0991,RETIREES,169000000.00,169000000.00,FRINGE BENEFITS - PS,0.00,SUPPLEMENTAL EMPLOYEE WELF BEN,169000000.00,0.00,0.00,2023
0.00,162601114.00,Department of Education,1109,NYC School Bus Umbrella Services,182000000.00,182000000.00,PUPIL TRANSPORTATION - OTPS,0.00,TRANSPORTATION OF PUPILS,162601114.00,0.00,0.00,2023
0.00,160000000.00,Department of Education,C401,CRRSA for Schools,127489113.90,127489113.90,GE INSTR & SCH LEADERSHIP - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,146711558.00,0.00,0.00,2023
0.00,117725718.00,Department of Education,2303,Charter School Leases,201321862.81,203417726.46,CHARTER SCHOOLS,0.00,CHARTER SCHOOLS,146039666.00,2095863.65,0.00,2023
0.00,144443609.00,Department of Education,5411,RELATED SERVICES -CENTRALLY ADMINISTERED,131642168.70,131642168.70,SE INSTRUCTIONAL SUPPORT - PS,0.00,FULL YEAR POSITIONS,140445404.00,0.00,0.00,2023
13660045.68,138847585.00,Department of Education,2140,PRE-K TRANSPORTATION,128550510.95,142210556.63,SE PRE-K CONTRACT PMTS - OTPS,0.00,TRANSPORTATION OF PUPILS,138847585.00,0.00,0.00,2023
0.00,136901997.00,Department of Education,4320,BEFORE/AFTR SCH TIME & EXTEND - ELEM/MID,132804797.13,132804797.13,GE INSTR & SCH LEADERSHIP - OTPS,0.00,CONTRACTUAL SERVICES-GENERAL,136901997.00,0.00,0.00,2023
7301695.92,99905256.00,Department of Youth and Community Development,3548,SONYC Public Schools,126418925.75,133720621.67,OTHER THAN PERSONAL SERVICES,0.00,EDUCATION & REC FOR YOUTH PRGM,136514119.00,0.00,0.00,2023
0.00,143988572.00,Department of Education,5406,SBST - ELEM / MIDD / HS / CW,122558291.39,122558291.39,SE INSTRUCTIONAL SUPPORT - PS,0.00,FULL TIME PEDAGOGICAL PRSONNEL,133988572.00,0.00,0.00,2023
4193528.22,102622613.00,Department of Youth and Community Development,3550,COMPASS 2011 RFP,126907999.53,131101527.75,OTHER THAN PERSONAL SERVICES,0.00,EDUCATION & REC FOR YOUTH PRGM,129686288.00,0.00,0.00,2023
